offer_id,title,brand,product_type,exclude_reason
"S-GLXS5BA2410,S-AWST24SU1305",2 Ton 15.2 SEER2 R-32 Air Conditioning System with Wall-Mounted Air Handler - Solace,Solace,solace,Brand not allowed: Solace
MPA5002L0070001,">B< Maxipro ACR Long Elbow 7/8""x 90D",Conex Bänninger,hvac parts supplies,Brand not allowed: Conex Bänninger
"RP15AY36AJ2NA, R921T0603A17M4SNAS, RCFY3617STANMC",3.0 Ton Dual Fuel System - 15.2 SEER2 Heat Pump & 92% AFUE Furnace - R-454B - Rheem,Rheem,rheem,Title indicates parts/supplies
EZPRO-18-HP-23016D-O,EasyPro 5th Generation 18k BTU 230V System,MRCOOL,mrcool > mrcool,Brand not allowed: MRCOOL
16283150546927324809,"SOLACE 3 Ton 16.2 SEER2 R-32 96% AFUE 60,000 BTU Gas Furnace Air Conditioning System (Upflow Coil)",Solace,,Brand not allowed: Solace
12SW90,"12"" Singlewall Adjustable 90 Degree Elbow",Gray Metal Products,hvac parts supplies,Brand not allowed: Gray Metal Products
SWP35,3” X 5' Snaplock Singlewall Pipe,Gray Metal Products,hvac parts supplies,Brand not allowed: Gray Metal Products
S-AWST30LU1305A,2.5 Ton R-32 Wall-Mount Air Handler - S-AWST30LU1305A - Solace,Solace,solace,Brand not allowed: Solace
13696228366705287157,Goodman 2 Ton R-32 Heat Pump Condenser - GZV6SA2410,Goodman,,Title indicates parts/supplies
D SB SEAL TAPE,BLUE MONSTER THREAD SEAL TAPE,Blue Monster Products Mill-Rose,hvac parts supplies,Brand not allowed: Blue Monster Products Mill-Rose
"S-GLXS5BA4810,S-GR9S920804CNA,S-CHPTA4830C3",4 Ton 15.2 SEER2 R-32 92% AFUE Gas Furnace Air Conditioning System (Horizontal Coil) - Solace,Solace,solace,Brand not allowed: Solace
1625073768606356541,GOODMAN GPGM56014031 - 5.0 Ton 15.2 SEER2 Two-Stage Package Unit,,,Brand not allowed: BLANK
SLDRTB,15% Sil-Fos 1 Pound Tube,,hvac parts supplies,Brand not allowed: BLANK
CONDP01,Sauermann Condensate Pump 23' Rise 120V,Sauerman,hvac parts supplies,Brand not allowed: Sauerman
SB81410,8x14x10 Straight Boot,Gray Metal Products,hvac parts supplies,Brand not allowed: Gray Metal Products
"S-GLXS5BA6010,S-GR9S801005CNA,S-CHPTA6030D3",5 Ton 15.2 SEER2 R-32 80% AFUE Gas Furnace Air Conditioning System (Horizontal Coil) - Solace,Solace,solace,Brand not allowed: Solace
SWP185,18” X 3' Snaplock Singlewall Pipe,Gray Metal Products,hvac parts supplies,Brand not allowed: Gray Metal Products
"S-GLZS4BA3010,S-AMST30BU13",SOLACE 2.5 Ton 14.3 SEER2 R-32 Heat Pump System with Multi-Positional Air Handler,Solace,solace,Brand not allowed: Solace
AA6302K,Aprilaire Zone Board 2 Heat & 1 Cool 2 stage 2 Zone Heat Pump Syste...,Aprilaire,hvac parts supplies > aprilaire zoning,Brand not allowed: Aprilaire
"S-GLXS4BA6010,S-GR9S921005CNA,S-CHPTA6030D3",SOLACE 5 Ton 14.3 SEER2 R-32 92% AFUE Gas Furnace Air Conditioning System (Horizontal Coil),Solace,goodman 1,Brand not allowed: Solace
5AFUSE,5 AMP Control Fuse (5 Per Pack),,hvac parts supplies,Brand not allowed: BLANK
RSWG1420,14 x 20 Stamp Faced Sidewall/Ceiling Return Grille White,Airscape,hvac parts supplies,Brand not allowed: Airscape
RB202NC,"Return Air Boot 20"" x 20"" flat with no collar",Gray Metal Products,hvac parts supplies,Brand not allowed: Gray Metal Products
15373448867557681275,Rheem 3.0 Ton 16.0 SEER2 AC & 92% AFUE Gas Furnace System,,,Brand not allowed: BLANK
SWP165,16” X 3' Snaplock Singlewall Pipe,Gray Metal Products,hvac parts supplies,Brand not allowed: Gray Metal Products
"RP15AY36AJ2NA, RH2VY3617STACNJ, WRX10021",Rheem R-454B 3.0 Ton 16 SEER2 Complete Heat Pump System 10kW,Rheem,rheem,Title indicates parts/supplies
"S-GLXT7CA6010,S-CAPTA6030C3,S-GRVT961005CN","SOLACE 5 Ton 17.2 SEER2 R-32 96% AFUE 100,000 BTU Gas Furnace Air Conditioning System (Upflow Coil)",Solace,solace,Brand not allowed: Solace
"S-GLZS4BA3610,S-AWST36LU1308A",SOLACE 3 Ton 14.3 SEER2 R-32 Heat Pump System with Wall-Mounted Air Handler,Solace,solace,Brand not allowed: Solace
S-GPGM54210031,Solace 3.5 Ton 15.2 SEER2 Packaged Gas/Electric - S-GPGM54210031,Solace,solace,Brand not allowed: Solace
"S-GLXS4BA6010,S-GR9S801005CNA,S-CHPTA6030D3",SOLACE 5 Ton 14.3 SEER2 R-32 80% AFUE Gas Furnace Air Conditioning System (Horizontal Coil),Solace,solace,Brand not allowed: Solace
S-AHVE48CP1300,Solace 4 Ton R-32 Air Handler - S-AHVE48CP1300,Solace,solace,Brand not allowed: Solace
GASNIP128,1/2” x 8” fitting,,hvac parts supplies,Brand not allowed: BLANK
34PVCU,"3/4"" PVC Union",American Air Components,hvac parts supplies,Brand not allowed: American Air Components
SB6128,"6"" x 12"" x 8"" Straight Boot",Gray Metal Products,hvac parts supplies,Brand not allowed: Gray Metal Products
"S-GLZS4BA6010,S-GR9S801005CNA,S-CHPTA6030D3",SOLACE 5 Ton 14.3 SEER2 R-32 80% AFUE Dual Fuel System (Horizontal Coil),Solace,goodman > dual fuel systems,Brand not allowed: Solace
"S-GLZS4BA3010,S-AWST30LU1310A",SOLACE 2.5 Ton 14.3 SEER2 R-32 Heat Pump System with Wall-Mounted Air Handler 10KW heat kit,Solace,solace,Brand not allowed: Solace
SPY600887,Spyder 13pc Bi-Metal (BIM) Hole Saw Set,Spyder,tools > spyder products > drill bits blades and hole saws,Brand not allowed: Spyder
S-AWST18SU1308A,Solace 1.5 Ton R-32 Wall-Mount Air Handler - S-AWST18SU1308A,Solace,solace,Brand not allowed: Solace
PAN148,"14x8 Drain pan with no hole (Condensation Pump Application) 14"" x 8""",,hvac parts supplies > drain pans and mounting accessories,Brand not allowed: BLANK
"S-GXV6SS2410,S-AHVE24BP1300,S-GTST-CW-WH-A",SOLACE 2 Ton 16.2 SEER2 R-32 Air Conditioning System with Multi-Positional Air Handler,Solace,solace,Brand not allowed: Solace
521KIT,Goodman Single-Stage Multi-Speed Gas Furnace 521KIT,UEI,tools,Brand not allowed: UEI
34TRACRL,3/4” Trac Pipe 100' Roll,,hvac parts supplies,Brand not allowed: BLANK
"S-GLXS4BA1810,S-GR9S800403ANA,S-CHPTA2426B3",SOLACE 1.5 Ton 14.3 SEER2 R-32 80% AFUE Gas Furnace Air Conditioning System (Horizontal Coil),Solace,solace,Brand not allowed: Solace
C165+KIT,UEi C165+KIT Combustion Analyzer Kit with Printer,UEI,tools,Brand not allowed: UEI
"S-GLZS5BA4810,S-AMST48CU13",SOLACE 4 Ton 15.2 SEER2 R-32 Heat Pump System with Multi-Positional Air Handler,Solace,solace,Brand not allowed: Solace
"S-GLXS5BA1810,S-AWST18SU1305",SOLACE 1.5 Ton 15.2 SEER2 R-32 Air Conditioning System with Wall-Mounted Air Handler,Solace,solace,Brand not allowed: Solace
S-GPHM52431,Solace 2 Ton 15.2 SEER2 Packaged Air Conditioner - S-GPHM52431,Solace,solace,Brand not allowed: Solace
"S-GLXS4BA6010,S-AMST60DU13",SOLACE 5 Ton 14.3 SEER2 R-32 Air Conditioning System with Multi-Positional Air Handler,Solace,solace,Brand not allowed: Solace
S-GLZS5BA3610,Solace 3 Ton 15.2 SEER2 R-32 Heat Pump - S-GLZS5BA3610,Solace,solace,Brand not allowed: Solace
1000002128,ROMAX Compact TT Basic Set 1 2x2Ah,Rothenberger,tools > pipe pressing,Brand not allowed: Rothenberger
CAP353MF,35/3 MF / 440 VA 440V 35+3 MFD HVAC Capacitor,Hartland Controls,hvac parts supplies,Brand not allowed: Hartland Controls
REME-BULB,Reme Halo Replacement Bulb Cell,,hvac parts supplies,Brand not allowed: BLANK
"S-GLZS5BA3010,S-GR9S800603ANA,S-CAPTA3022A3",SOLACE 2.5 Ton 15.2 SEER2 R-32 80% AFUE Dual Fuel System (Upflow Coil),Solace,solace,Brand not allowed: Solace
GAS1TEE,1” Tee,,hvac parts supplies,Brand not allowed: BLANK
11388226215903968063,Goodman GLZS4BA1810 1.5 Ton R-32 Heat Pump,Goodman,,Title indicates parts/supplies
RP14AY36AJ2NA,RHEEM 3.0 Ton 14.3 SEER2 Two-Stage Heat Pump,Rheem,rheem,Title indicates parts/supplies
"S-GLZS4BA4810,S-GR9S800804CNA,S-CHPTA4830C3",SOLACE 4 Ton 14.3 SEER2 R-32 80% AFUE Dual Fuel System (Horizontal Coil),Solace,goodman 1,Brand not allowed: Solace
05-30-300UB,"5” X 24"" Snaplock Singlewall Pipe",Gray Metal Products,hvac parts supplies,Brand not allowed: Gray Metal Products
"S-GLZS5BA1810,S-GR9S920403ANA,S-CHPTA2426B3",SOLACE 1.5 Ton 15.2 SEER2 R-32 92% AFUE Dual Fuel System (Horizontal Coil),Solace,solace,Brand not allowed: Solace
34HOLE,"3/4"" Hole Straps",,hvac parts supplies,Brand not allowed: BLANK
S-GRVT800803BN,"Solace 80,000 BTU 80% AFUE Gas Furnace - S-GRVT800803BN",Solace,solace,Brand not allowed: Solace
13UNI1075,1/6-1/3 HP Uni. Multi HP CFM 1075 RPM,,hvac parts supplies > motors motor accessories,Brand not allowed: BLANK
APR-4028-DTA,Aprilaire 4028 Drain Trap Assembly,Airscape,hvac parts supplies,Brand not allowed: Airscape
H-BD01,HydroBalance Bluedaceous Condenser Coil Cleaner 1 Gallon Concentrate Non-Acid – Blue Coil Cleaner Bottle,HydroBalance,hvac parts supplies,Brand not allowed: HydroBalance
06-30-300UB,"6” X 24"" Snaplock Singlewall Pipe",Gray Metal Products,hvac parts supplies,Brand not allowed: Gray Metal Products
FLATB-PAINT,Flat Black Rust-oleum Spray Paint,,hvac parts supplies,Brand not allowed: BLANK
906128,"6"" x 12"" x 8"" 90 Degree Boot",Gray Metal Products,hvac parts supplies,Brand not allowed: Gray Metal Products
"RP15AY24AJ2NA, RH2VY2417STACNJ, WRX05021",Rheem R-454B 2.0 Ton 16 SEER2 Complete Heat Pump System 5kW,Rheem,rheem,Title indicates parts/supplies
18404939674041544771,GOODMAN 3 Ton Variable Capacity 17.5 SEER2 R-32 80% AFUE Dual Fuel System with ComfortNet Smart Thermostat (Upflow Coil),Goodman,,Title indicates parts/supplies
6SADDLE,"6"" Saddle Collar",Southwark,hvac parts supplies,Brand not allowed: Southwark
NYLWB01,Nylon Webbing,American Air Components,hvac parts supplies,Brand not allowed: American Air Components
RED108,10-8 Singlewall Reducer,Gray Metal Products,hvac parts supplies > singlewall pipe fittings and elbows,Brand not allowed: Gray Metal Products
CAP453MF,45/3 MF / 440 VA 440V 45+3 MFD HVAC Capacitor,Hartland Controls,hvac parts supplies,Brand not allowed: Hartland Controls
S-GPGM34208031,Solace 3.5 Ton 13.4 SEER2 Packaged Gas/Electric - S-GPGM34208031,Solace,solace,Brand not allowed: Solace
"RP15AY18AJ2NA, R801T0503A14UHSNAS, RCFY2414STAAMC",Rheem 1.5 Ton Dual Fuel System - 15.2 SEER2 Heat Pump & 80% AFUE Furnace,Rheem,rheem,Title indicates parts/supplies
MPA52700030001,">B< Maxipro 3/8"" Straight Coupler",Conex Bänninger,hvac parts supplies,Brand not allowed: Conex Bänninger
C165+NOIL,UEi C165+NOIL Combustion Analyzer with NOx Sensor for Oil-Fired Appliances,UEI,tools,Brand not allowed: UEI
S-AWST24SU1310A,Solace 2 Ton R-32 Wall-Mount Air Handler - S-AWST24SU1310A,Solace,solace,Brand not allowed: Solace
GAS1UN,1” Unions,,hvac parts supplies,Brand not allowed: BLANK
STR9034,"3/4"" Copper Street 90",American Air Components,hvac parts supplies > copper fittings solder refrigerant accessories,Brand not allowed: American Air Components
S-GPHH33031,Solace 2 Ton 13.4 SEER2 Packaged Heat Pump - S-GPHH33031,Solace,solace,Brand not allowed: Solace
"GLZS4BA6010, GR9S801005CNA, CHPTA6030D3",GOODMAN 5 Ton 14.3 SEER2 R-32 80% AFUE Dual Fuel Heat Pump System (Horizontal Coil),Goodman,goodman 1,Title indicates parts/supplies
70025,CAPILLARY TUBE CUTTER,Mastercool,tools,Brand not allowed: Mastercool
15815672724909882361,"SOLACE 3 Ton 16.2 SEER2 R-32 96% AFUE 60,000 BTU Gas Furnace Air Conditioning System (Horizontal Coil)",Solace,,Brand not allowed: Solace
904106,4x10x6 90 Degree Boot,Gray Metal Products,hvac parts supplies,Brand not allowed: Gray Metal Products
ROSSI6,"Rossi 6"" Complete Manual Damper",Rossi,hvac parts supplies > collars,Brand not allowed: Rossi
"S-GLXS5BA4210,S-GR9S920804CNA,S-CHPTA4230C3",SOLACE 3.5 Ton 15.2 SEER2 R-32 92% AFUE Gas Furnace Air Conditioning System (Horizontal Coil),Solace,solace,Brand not allowed: Solace
S-AMVT60DP1300,Solace 5 Ton R-32 Air Handler - S-AMVT60DP1300,Solace,solace,Brand not allowed: Solace
S-CHPTA3630B3,Solace 3 Ton R-32 Horizontal Evaporator Coil - S-CHPTA3630B3,Solace,solace,Brand not allowed: Solace
LS3450,3/4 X 3/8 50 Ft,Ptubes Linesets,hvac parts supplies,Brand not allowed: Ptubes Linesets
"GLZS4BA4210, GR9S800804CNA, CAPTA4230C3",GOODMAN 3.5 Ton 14.3 SEER2 R-32 80% AFUE Dual Fuel Heat Pump System (Upflow Coil),Goodman,goodman 1,Title indicates parts/supplies
"GLZS4BA3010, GR9S800603ANA, CHPTA3026B3",GOODMAN 2.5 Ton 14.3 SEER2 R-32 80% AFUE Dual Fuel Heat Pump System (Horizontal Coil),Goodman,goodman 1,Title indicates parts/supplies
"GLZS5BA6010, AMST60DU13",GOODMAN 5 Ton 15.2 SEER2 R-32 Heat Pump System with Multi-Positional Air Handler,Goodman,goodman 1,Title indicates parts/supplies
PLENBSB,B Width Air Handler Return Support Plenum Box NO FILTER RACK (18 X ...,,hvac parts supplies,Brand not allowed: BLANK
"S-GLZS4BA2410,S-GR9S800403ANA,S-CHPTA2426B3",SOLACE 2 Ton 14.3 SEER2 R-32 80% AFUE Dual Fuel System (Horizontal Coil),Solace,goodman 1,Brand not allowed: Solace
S-GPGM32404031,Solace 2 Ton 13.4 SEER2 Packaged Gas/Electric - S-GPGM32404031,Solace,solace,Brand not allowed: Solace
JN165,"3/8""-16 Hex nut 100 Count",,hvac parts supplies,Brand not allowed: BLANK
PLENAHBFR,B Width Air Handler Return Support Plenum Box With 18x20x1 Filter R...,,hvac parts supplies,Brand not allowed: BLANK
12WIRE1,12-2 High Voltage Wire by the foot,,hvac parts supplies,Brand not allowed: BLANK
"S-GLXS4BA2410,S-AWST24SU1305",SOLACE 2 Ton 14.3 SEER2 R-32 Air Conditioning System with Wall-Mounted Air Handler,Solace,solace,Brand not allowed: Solace
PF1414,14x14x1” Pleated Filter,GlassFloss,hvac parts supplies,Brand not allowed: GlassFloss
ARMA78,"7/8""x 6' Amarflex 1/2"" wall",,hvac parts supplies,Brand not allowed: BLANK
CSPLEN,C Width Gas Furnace Supply Plenum (19.75 X 19.63 X 36),,hvac parts supplies,Brand not allowed: BLANK
