id,title,brand,reason
"S-GLXS5BA2410,S-AWST24SU1305",2 Ton 15.2 SEER2 R-32 Air Conditioning System with Wall-Mounted Air Handler - Solace,Solace,Brand: Solace
MPA5002L0070001,">B< Maxipro ACR Long Elbow 7/8""x 90D",Conex Bänninger,Brand: Conex Bänninger
EZPRO-18-HP-23016D-O,EasyPro 5th Generation 18k BTU 230V System,MRCOOL,Brand: MRCOOL
12SW90,"12"" Singlewall Adjustable 90 Degree Elbow",Gray Metal Products,Brand: Gray Metal Products
SWP35,3” X 5' Snaplock Singlewall Pipe,Gray Metal Products,Brand: Gray Metal Products
S-AWST30LU1305A,2.5 Ton R-32 Wall-Mount Air Handler - S-AWST30LU1305A - Solace,Solace,Brand: Solace
D SB SEAL TAPE,BLUE MONSTER THREAD SEAL TAPE,Blue Monster Products Mill-Rose,Brand: Blue Monster Products Mill-Rose
"S-GLXS5BA4810,S-GR9S920804CNA,S-CHPTA4830C3",4 Ton 15.2 SEER2 R-32 92% AFUE Gas Furnace Air Conditioning System (Horizontal Coil) - Solace,Solace,Brand: Solace
SLDRTB,15% Sil-Fos 1 Pound Tube,,Brand: BLANK
CONDP01,Sauermann Condensate Pump 23' Rise 120V,Sauerman,Brand: Sauerman
SB81410,8x14x10 Straight Boot,Gray Metal Products,Brand: Gray Metal Products
"S-GLXS5BA6010,S-GR9S801005CNA,S-CHPTA6030D3",5 Ton 15.2 SEER2 R-32 80% AFUE Gas Furnace Air Conditioning System (Horizontal Coil) - Solace,Solace,Brand: Solace
SWP185,18” X 3' Snaplock Singlewall Pipe,Gray Metal Products,Brand: Gray Metal Products
"S-GLZS4BA3010,S-AMST30BU13",SOLACE 2.5 Ton 14.3 SEER2 R-32 Heat Pump System with Multi-Positional Air Handler,Solace,Brand: Solace
AA6302K,Aprilaire Zone Board 2 Heat & 1 Cool 2 stage 2 Zone Heat Pump Syste...,Aprilaire,Brand: Aprilaire
"S-GLXS4BA6010,S-GR9S921005CNA,S-CHPTA6030D3",SOLACE 5 Ton 14.3 SEER2 R-32 92% AFUE Gas Furnace Air Conditioning System (Horizontal Coil),Solace,Brand: Solace
