id	excluded_destination
MPA5002L0070001	Shopping_ads
EZPRO-18-HP-23016D-O	Shopping_ads
12SW90	Shopping_ads
SWP35	Shopping_ads
D SB SEAL TAPE	Shopping_ads
SLDRTB	Shopping_ads
CONDP01	Shopping_ads
SB81410	Shopping_ads
SWP185	Shopping_ads
AA6302K	Shopping_ads
5AFUSE	Shopping_ads
RSWG1420	Shopping_ads
RB202NC	Shopping_ads
SWP165	Shopping_ads
GASNIP128	Shopping_ads
34PVCU	Shopping_ads
SB6128	Shopping_ads
SPY600887	Shopping_ads
PAN148	Shopping_ads
521KIT	Shopping_ads
34TRACRL	Shopping_ads
C165+KIT	Shopping_ads
1000002128	Shopping_ads
CAP353MF	Shopping_ads
REME-BULB	Shopping_ads
GAS1TEE	Shopping_ads
05-30-300UB	Shopping_ads
34HOLE	Shopping_ads
13UNI1075	Shopping_ads
APR-4028-DTA	Shopping_ads
H-BD01	Shopping_ads
06-30-300UB	Shopping_ads
FLATB-PAINT	Shopping_ads
906128	Shopping_ads
6SADDLE	Shopping_ads
NYLWB01	Shopping_ads
RED108	Shopping_ads
CAP453MF	Shopping_ads
MPA52700030001	Shopping_ads
C165+NOIL	Shopping_ads
GAS1UN	Shopping_ads
STR9034	Shopping_ads
70025	Shopping_ads
904106	Shopping_ads
ROSSI6	Shopping_ads
LS3450	Shopping_ads
PLENBSB	Shopping_ads
JN165	Shopping_ads
PLENAHBFR	Shopping_ads
12WIRE1	Shopping_ads
PF1414	Shopping_ads
ARMA78	Shopping_ads
CSPLEN	Shopping_ads
C165+NKIT	Shopping_ads
MSL5825	Shopping_ads
MPA52700050001	Shopping_ads
CE6106	Shopping_ads
3WAY148	Shopping_ads
FRG1420	Shopping_ads
ASPLEN	Shopping_ads
UNIICM2812	Shopping_ads
SLH412	Shopping_ads
188WIRE	Shopping_ads
R818	Shopping_ads
16SW90	Shopping_ads
CAP75MF	Shopping_ads
MPA52700020001	Shopping_ads
C165+OILKIT	Shopping_ads
END310	Shopping_ads
GAS12UN	Shopping_ads
12TRACRL	Shopping_ads
SAFT01	Shopping_ads
CAP125MF	Shopping_ads
CT-200	Shopping_ads
GASNIP122	Shopping_ads
10-406-ASD	Shopping_ads
FRG148	Shopping_ads
COUP34	Shopping_ads
1290LTFIT	Shopping_ads
DT302	Shopping_ads
PF1820	Shopping_ads
ZC-01	Shopping_ads
ROSSLV10	Shopping_ads
RECT122448	Shopping_ads
RSWG148	Shopping_ads
184WIRE300	Shopping_ads
4EAVE	Shopping_ads
182WIRE	Shopping_ads
ROSSI10	Shopping_ads
08-30-300UB	Shopping_ads
JWW81	Shopping_ads
H-NT08	Shopping_ads
70033	Shopping_ads
SPFOAM	Shopping_ads
10-30-300	Shopping_ads
PVCCEM1	Shopping_ads
AACL06	Shopping_ads
EZPRO-24-HP-23016D-O	Shopping_ads
RED87	Shopping_ads
BBPW	Shopping_ads
RB142014	Shopping_ads
SPY19024	Shopping_ads
CS-250	Shopping_ads
H-SA12	Shopping_ads
ROSSLV12	Shopping_ads
CE4148	Shopping_ads
CAP4075MF	Shopping_ads
SB4148	Shopping_ads
BFLR144	Shopping_ads
UEIGNGV	Shopping_ads
10COL	Shopping_ads
H-BM01	Shopping_ads
APLENFR	Shopping_ads
6ROOF	Shopping_ads
2PVCC	Shopping_ads
34PVC45	Shopping_ads
R614	Shopping_ads
510KIT	Shopping_ads
GAS34COUP	Shopping_ads
SPY600913	Shopping_ads
C161C	Shopping_ads
WTOE210	Shopping_ads
PAN3232	Shopping_ads
SPY19020	Shopping_ads
MPA52700060001	Shopping_ads
34INSUV	Shopping_ads
