offer_id,current_title,new_title,brand
"S-GLXS5BA2410,S-AWST24SU1305",SOLACE 2 Ton 15.2 SEER2 R-32 Air Conditioning System with Wall-Mounted Air Handler,2 Ton 15.2 SEER2 R-32 Air Conditioning System with Wall-Mounted Air Handler - Solace,solace
GLXS3BN2410,Goodman GLXS3BN2410 2 Ton R-32 Air Conditioner,GLXS3BN2410 2 Ton R-32 Air Conditioner - Goodman,goodman
"GLXS3BN3610, GR9S800604BNA, CAPTA3626B3",GOODMAN 3 Ton 13.4 SEER2 R-32 80% AFUE AC System (Upflow Coil),3 Ton 13.4 SEER2 R-32 80% AFUE AC System (Upflow Coil) - Goodman,goodman
"RP15AY36AJ2NA, R921T0603A17M4SNAS, RCFY3617STANMC",Rheem 3.0 Ton Dual Fuel System - 15.2 SEER2 Heat Pump & 92% AFUE Furnace - R-454B,3.0 Ton Dual Fuel System - 15.2 SEER2 Heat Pump & 92% AFUE Furnace - R-454B - Rheem,rheem
16283150546927324809,"SOLACE 3 Ton 16.2 SEER2 R-32 96% AFUE 60,000 BTU Gas Furnace Air Conditioning System (Upflow Coil)","3 Ton 16.2 SEER2 R-32 96% AFUE 60,000 BTU Gas Furnace Air Conditioning System (Upflow Coil) - Solace",solace
RH2VY6024STACNJ,RHEEM RH2VY6024STACNJ - 5.0 Ton Variable Speed Air Handler,RH2VY6024STACNJ - 5.0 Ton Variable Speed Air Handler - Rheem,rheem
398641206010559439,GOODMAN 2.5 Ton 16.2 SEER2 R-32 96% AFUE Gas Furnace Air Conditioning System (Horizontal Coil),2.5 Ton 16.2 SEER2 R-32 96% AFUE Gas Furnace Air Conditioning System (Horizontal Coil) - Goodman,goodman
S-AWST30LU1305A,Solace 2.5 Ton R-32 Wall-Mount Air Handler - S-AWST30LU1305A,2.5 Ton R-32 Wall-Mount Air Handler - S-AWST30LU1305A - Solace,solace
10679297228401464298,GOODMAN 5 Ton 16.2 SEER2 R-32 80% AFUE Gas Furnace Air Conditioning System (Horizontal Coil),5 Ton 16.2 SEER2 R-32 80% AFUE Gas Furnace Air Conditioning System (Horizontal Coil) - Goodman,goodman
13696228366705287157,Goodman 2 Ton R-32 Heat Pump Condenser - GZV6SA2410,2 Ton R-32 Heat Pump Condenser - GZV6SA2410 - Goodman,goodman
