offer_id,title,brand,price,availability,product_type,gtin,mpn,condition,custom_label0,custom_label1,has_brand_in_title,matched_brand,is_workhorse,workhorse_model,workhorse_description,missing_attributes
"S-GLXS5BA2410,S-AWST24SU1305",SOLACE 2 Ton 15.2 SEER2 R-32 Air Conditioning System with Wall-Mounted Air Handler,Solace,0 USD,in stock,solace,,"S-GLXS5BA2410,S-AWST24SU1305",new,,,True,solace,False,,,GTIN
GLXS3BN2410,Goodman GLXS3BN2410 2 Ton R-32 Air Conditioner,Goodman,0 USD,in stock,goodman 1,,GLXS3BN1810,new,,,True,goodman,False,,,GTIN
"GLXS3BN3610, GR9S800604BNA, CAPTA3626B3",GOODMAN 3 Ton 13.4 SEER2 R-32 80% AFUE AC System (Upflow Coil),Goodman,0 USD,in stock,goodman 1,,"GLXS3BN3610, GR9S800604BNA, CAPTA3626B3",new,,,True,goodman,True,GR9S,Goodman GR9S Gas Furnace,GTIN
"RP15AY36AJ2NA, R921T0603A17M4SNAS, RCFY3617STANMC",Rheem 3.0 Ton Dual Fuel System - 15.2 SEER2 Heat Pump & 92% AFUE Furnace - R-454B,Rheem,0 USD,in stock,rheem,,"RP15AY36AJ2NA, R921T0603A17M4SNAS, RCFY3617STANMC",new,,,True,rheem,False,,,GTIN
16283150546927324809,"SOLACE 3 Ton 16.2 SEER2 R-32 96% AFUE 60,000 BTU Gas Furnace Air Conditioning System (Upflow Coil)",Solace,0 USD,in stock,,,,new,,,True,solace,False,,,"GTIN, MPN"
RH2VY6024STACNJ,RHEEM RH2VY6024STACNJ - 5.0 Ton Variable Speed Air Handler,Rheem,0 USD,in stock,rheem > air handlers,,RH2VY6024STACNJ,new,,,True,rheem,False,,,GTIN
398641206010559439,GOODMAN 2.5 Ton 16.2 SEER2 R-32 96% AFUE Gas Furnace Air Conditioning System (Horizontal Coil),Goodman,0 USD,in stock,,,,new,,,True,goodman,False,,,"GTIN, MPN"
S-AWST30LU1305A,Solace 2.5 Ton R-32 Wall-Mount Air Handler - S-AWST30LU1305A,Solace,0 USD,in stock,solace,,S-AWST30LU1305A,new,,,True,solace,False,,,GTIN
10679297228401464298,GOODMAN 5 Ton 16.2 SEER2 R-32 80% AFUE Gas Furnace Air Conditioning System (Horizontal Coil),Goodman,0 USD,in stock,,,,new,,,True,goodman,False,,,"GTIN, MPN"
13696228366705287157,Goodman 2 Ton R-32 Heat Pump Condenser - GZV6SA2410,Goodman,0 USD,in stock,,,,new,,,True,goodman,False,,,"GTIN, MPN"
"GLXS3BN4810, AMST48CU13",GOODMAN 4 Ton 13.4 SEER2 R-32 Air Conditioning System with Multi-Position Air Handler,Goodman,0 USD,in stock,goodman 1,,"GLXS3BN4210, AMST42CU13, HKTSN10X1",new,,,True,goodman,False,,,GTIN
