product_id,title,brand,price,gtin,mpn,campaign,impressions,clicks,cost,conversions,conv_value,roas,cpc,has_brand_in_title,matched_brand,in_merchant_center
gr9s920403an,Goodman GR9S920403AN 92% AFUE Gas Furnace,goodman,,,,Products merchant campaign,27406,250,576.007637,0.821964,1133.6327145,1.968086257335508,2.304030548,True,goodman,False
"ra16ay36aj2na, rh2vy3617stacnj, wrx10021","Rheem 3.0 Ton 16.0 SEER2 AC, Air Handler & 10kW Heat Kit System",rheem,,,,Products merchant campaign,46435,444,479.36396,1.5,3674.98,7.666366908350807,1.0796485585585587,True,rheem,False
r801t1005a21uhsnas,"RHEEM R801T1005A21UHSNAS - 100,000 BTU 80% AFUE Single Stage Furnace",rheem,,,,Products merchant campaign,36975,359,424.334019,0.665991,792.1992525,1.8669237370289653,1.1819889108635098,True,rheem,False
s-gr9s920403an,Solace 92% AFUE Gas Furnace - S-GR9S920403AN,solace,,,,Products merchant campaign,13321,128,397.755078,0.821965,1133.63422,2.850081074263494,3.107461546875,True,solace,False
r921t0703a17m4snas,"RHEEM R921T0703A17M4SNAS - 70,000 BTU 92% AFUE Single Stage Furnace",rheem,,,,Products merchant campaign,29724,287,361.517122,0.0,3.9869732,0.011028449158764879,1.2596415400696863,True,rheem,False
"ra15ay36aj1na, r921t0603a17m4snas, rcfy3617stanmc",Rheem 3.0 Ton 15.0 SEER2 AC & 92% AFUE Gas Furnace System,rheem,,,,Products merchant campaign,24458,195,221.14,0.508798,891.6739464,4.0321694238943655,1.134051282051282,True,rheem,False
"ra16ay36aj2na, r921v0603a17m4scap, rcfy3617stanmc",Rheem 3.0 Ton 16.0 SEER2 AC & 92% AFUE Gas Furnace System,rheem,,,,Products merchant campaign,36472,226,193.756797,0.0,3.9869732,0.020577204318669655,0.8573309601769912,True,rheem,False
"ra14ay36aj1na, r801t0754a17uhsnas, rcfy3617stanmc","Rheem 3.0 Ton AC System 14.3 SEER2 with 75,000 BTU 80% AFUE Furnace - R-454B",rheem,,,,Products merchant campaign,31323,177,181.741777,0.5,883.7,4.862393306520823,1.0267897005649718,True,rheem,False
"ra14ay24aj1na, rh2ty2417stannj, wrx05021",Rheem 2.0 Ton AC System 14.3 SEER2 with Air Handler & 5kW Heat Kit - R-454B,rheem,,,,Products merchant campaign,9424,161,173.36,0.869431,1682.6967574,9.70637261998154,1.0767701863354038,True,rheem,False
r801t0754a21uhsnas,"RHEEM R801T0754A21UHSNAS - 75,000 BTU 80% AFUE Single Stage Furnace",rheem,,,,Products merchant campaign,14012,191,172.131105,0.0,0.0,0.0,0.9012099738219895,True,rheem,False
"ra16ay24aj2na, r921v0403a17m4scap, rcfy2417stanmc",Rheem 2.0 Ton 16.0 SEER2 AC & 92% AFUE Gas Furnace System,rheem,,,,Products merchant campaign,6871,93,155.45,0.0,0.0,0.0,1.671505376344086,True,rheem,False
rp15ay30aj2na,RHEEM 2.5 Ton 15.2 SEER2 Two-Stage Heat Pump,rheem,,,,Products merchant campaign,5289,66,151.881355,0.0,0.0,0.0,2.3012326515151518,True,rheem,False
"ra16ay60aj2na, rh2vy6024stacnj, wrx10021","Rheem 5.0 Ton 16.0 SEER2 AC, Air Handler & 10kW Heat Kit System",rheem,,,,Products merchant campaign,8468,81,146.269398,1.0,3844.36,26.282736187920868,1.805795037037037,True,rheem,False
hktsn10x1,Goodman HKTSN10X1 10 kW Electric Heat Strip Kit,goodman,,,,Products merchant campaign,8584,114,135.173113,1.5,193.875,1.4342719176704912,1.1857290614035088,True,goodman,False
rp14ay30aj2na,RHEEM 2.5 Ton 14.3 SEER2 Two-Stage Heat Pump,rheem,,,,Products merchant campaign,9139,96,120.729452,0.0,0.0,0.0,1.2575984583333333,True,rheem,False
rxc12axvju,Daikin ENTRA 18 SEER2 12K BTU Heat Pump,daikin,,,,Products merchant campaign,6204,51,108.69,0.0,0.0,0.0,2.1311764705882354,True,daikin,False
s-gr9s800403ana,Solace 80% AFUE Gas Furnace - S-GR9S800403ANA,solace,,,,Products merchant campaign,7543,62,102.379177,0.0,0.0,0.0,1.6512770483870967,True,solace,False
