product_id,sku,field,before,after
421,"GR9S800603ANA",page_title,"Goodman 80% 60K BTU 3 Ton Drive Gas Furnace 14"" Wide W/ R32 Control Board","Goodman GR9S800603ANA 80% AFUE Gas Furnace"
421,"GR9S800603ANA",meta_description,"Field mapping test - meta description","Shop Goodman HVAC systems online at Buy Comfort Direct. Fast shipping, great pricing, and expert support. Order today from Buy Comfort Direct."
423,"GR9S800604BNA",page_title,"Goodman 80% 60K BTU 4 Ton Drive Gas Furnace 17"" Wide W/ R32 Control Board","Goodman GR9S800604BNA 80% AFUE Gas Furnace"
423,"GR9S800604BNA",meta_description,"Goodman 80% 60K BTU 4 Ton Drive Gas Furnace 17"" Wide W/ R32 Control Board","Shop Goodman HVAC systems online at Buy Comfort Direct. Fast shipping, great pricing, and expert support. Order today from Buy Comfort Direct."
426,"GR9S800804CNA",page_title,"Goodman 80% 80K BTU 4 Ton Drive Gas Furnace 21"" Wide W/ R32 Control Board","Goodman GR9S800804CNA 80% AFUE Gas Furnace"
426,"GR9S800804CNA",meta_description,"Goodman 80% 80K BTU 4 Ton Drive Gas Furnace 21"" Wide W/ R32 Control Board","Shop Goodman HVAC systems online at Buy Comfort Direct. Fast shipping, great pricing, and expert support. Order today from Buy Comfort Direct."
428,"GR9S801005CNA",page_title,"Goodman 80% 100K BTU 5 Ton Drive Gas Furnace 21"" Wide W/ R32 Control Board","Goodman GR9S801005CNA 80% AFUE Gas Furnace"
428,"GR9S801005CNA",meta_description,"Goodman 80% 100K BTU 5 Ton Drive Gas Furnace 21"" Wide W/ R32 Control Board","Shop Goodman HVAC systems online at Buy Comfort Direct. Fast shipping, great pricing, and expert support. Order today from Buy Comfort Direct."
430,"GR9S960403ANA",page_title,"Goodman 96% 40K BTU 3 Ton Drive Gas Furnace 14"" Wide W/ R32 Control Board","Goodman 40,000 BTU Gas Furnace 96% AFUE Single-Stage -"
430,"GR9S960403ANA",meta_description,"Goodman 96% 40K BTU 3 Ton Drive Gas Furnace 14"" Wide W/ R32 Control Board","Shop Goodman HVAC systems online at Buy Comfort Direct. Fast shipping, great pricing, and expert support. Order today from Buy Comfort Direct."
431,"GR9S960603BNA",page_title,"Goodman 96% 60K BTU 3 Ton Drive Gas Furnace 17"" Wide W/ R32 Control Board","Goodman 60,000 BTU Gas Furnace 96% AFUE Single-Stage -"
431,"GR9S960603BNA",meta_description,"Goodman 96% 60K BTU 3 Ton Drive Gas Furnace 17"" Wide W/ R32 Control Board","Shop Goodman HVAC systems online at Buy Comfort Direct. Fast shipping, great pricing, and expert support. Order today from Buy Comfort Direct."
433,"GR9S960804CNA",page_title,"Goodman 96% 80K BTU 5 Ton Drive Gas Furnace 21"" Wide W/ R32 Control Board","Goodman 80,000 BTU Gas Furnace 96% AFUE Single-Stage -"
433,"GR9S960804CNA",meta_description,"Goodman 96% 80K BTU 5 Ton Drive Gas Furnace 21"" Wide W/ R32 Control Board","Shop Goodman HVAC systems online at Buy Comfort Direct. Fast shipping, great pricing, and expert support. Order today from Buy Comfort Direct."
2554,"GLZS4BA1810",page_title,"Goodman 1.5 Ton Heat Pump 14.3 SEER2 R-32 GLZS4BA1810","Goodman GLZS4BA1810 1.5 Ton R-32 Heat Pump"
2554,"GLZS4BA1810",meta_description,"Goodman 1.5 Ton Heat Pump 14.3 SEER2 R-32 GLZS4BA1810","Shop Goodman HVAC systems online at Buy Comfort Direct. Fast shipping, great pricing, and expert support. Order today from Buy Comfort Direct."
2555,"GLZS4BA2410",page_title,"Goodman 2 Ton Heat Pump 14.3 SEER2 R-32 GLZS4BA2410","Goodman GLZS4BA2410 2 Ton R-32 Heat Pump"
2555,"GLZS4BA2410",meta_description,"Goodman 2 Ton Heat Pump 14.3 SEER2 R-32 GLZS4BA2410","Shop Goodman HVAC systems online at Buy Comfort Direct. Fast shipping, great pricing, and expert support. Order today from Buy Comfort Direct."
2556,"GLZS4BA3010",page_title,"Goodman 2.5 Ton Heat Pump 14.3 SEER2 R-32 GLZS4BA3010","Goodman GLZS4BA3010 2.5 Ton R-32 Heat Pump"
2556,"GLZS4BA3010",meta_description,"Goodman 2.5 Ton Heat Pump 14.3 SEER2 R-32 GLZS4BA3010","Shop Goodman HVAC systems online at Buy Comfort Direct. Fast shipping, great pricing, and expert support. Order today from Buy Comfort Direct."
2557,"GLZS4BA3610",page_title,"Goodman 3 Ton Heat Pump 14.3 SEER2 R-32 GLZS4BA3610","Goodman GLZS4BA3610 3 Ton R-32 Heat Pump"
2557,"GLZS4BA3610",meta_description,"Goodman 3 Ton Heat Pump 14.3 SEER2 R-32 GLZS4BA3610","Shop Goodman HVAC systems online at Buy Comfort Direct. Fast shipping, great pricing, and expert support. Order today from Buy Comfort Direct."
2558,"GLZS4BA4210",page_title,"Goodman 3.5 Ton Heat Pump 14.3 SEER2 R-32 GLZS4BA4210","Goodman GLZS4BA4210 3.5 Ton R-32 Heat Pump"
2558,"GLZS4BA4210",meta_description,"Goodman 3.5 Ton Heat Pump 14.3 SEER2 R-32 GLZS4BA4210","Shop Goodman HVAC systems online at Buy Comfort Direct. Fast shipping, great pricing, and expert support. Order today from Buy Comfort Direct."
2559,"GLZS4BA4810",page_title,"Goodman 4 Ton Heat Pump 14.3 SEER2 R-32 GLZS4BA4810","Goodman GLZS4BA4810 4 Ton R-32 Heat Pump"
2559,"GLZS4BA4810",meta_description,"Goodman 4 Ton Heat Pump 14.3 SEER2 R-32 GLZS4BA4810","Shop Goodman HVAC systems online at Buy Comfort Direct. Fast shipping, great pricing, and expert support. Order today from Buy Comfort Direct."
2560,"GLZS4BA6010",page_title,"Goodman 5 Ton Heat Pump 14.3 SEER2 R-32 GLZS4BA6010","Goodman GLZS4BA6010 5 Ton R-32 Heat Pump"
2560,"GLZS4BA6010",meta_description,"Goodman 5 Ton Heat Pump 14.3 SEER2 R-32 GLZS4BA6010","Shop Goodman HVAC systems online at Buy Comfort Direct. Fast shipping, great pricing, and expert support. Order today from Buy Comfort Direct."
2561,"GLXS4BA1810",page_title,"Goodman 1.5 Ton AC 14.3 SEER2 R-32 GLXS4BA1810","Goodman GLXS4BA1810 1.5 Ton R-32 Air Conditioner"
