product_id,category_id,category_path
2140,1271,Rheem > Heat Kits
2140,1248,Rheem
2141,1271,Rheem > Heat Kits
2141,1248,Rheem
2142,1271,Rheem > Heat Kits
2142,1248,Rheem
2143,1271,Rheem > Heat Kits
2143,1248,Rheem
2182,1248,Rheem
2182,1272,Rheem > 80% Furnaces
2182,1273,Rheem > 80% Furnaces > 50K BTU
2183,1248,Rheem
2183,1272,Rheem > 80% Furnaces
2183,1274,Rheem > 80% Furnaces > 75k BTU
2184,1248,Rheem
2184,1272,Rheem > 80% Furnaces
2184,1274,Rheem > 80% Furnaces > 75k BTU
2185,1248,Rheem
2185,1272,Rheem > 80% Furnaces
2185,1276,Rheem > 80% Furnaces > 100K BTU
2186,1248,Rheem
2186,1272,Rheem > 80% Furnaces
2186,1277,Rheem > 80% Furnaces > 125K BTU
2187,1248,Rheem
2187,1278,Rheem > 92% Furnaces
2187,1279,Rheem > 92% Furnaces > 40K BTU
