product_id,sku,field,before,after
2476,"Prime",page_title,"Solace Wi-Fi Touch Screen Thermostat Prime Edition","Solace Wi-Fi Touch Screen Thermostat Prime Edition"
2476,"Prime",meta_description,"Solace Wi-Fi Touch Screen Thermostat Prime Edition","Shop Solace HVAC systems online at Buy Comfort Direct. Fast shipping, great pricing, and expert support. Order today from Buy Comfort Direct."
2477,"CPMOD-01",page_title,"Common Power Module","Common Power Module"
2477,"CPMOD-01",meta_description,"Common Power Module","Shop Solace HVAC systems online at Buy Comfort Direct. Fast shipping, great pricing, and expert support. Order today from Buy Comfort Direct."
2478,"CMFTSNS-01",page_title,"Comfort Sensor","Comfort Sensor"
2478,"CMFTSNS-01",meta_description,"Comfort Sensor","Shop Solace HVAC systems online at Buy Comfort Direct. Fast shipping, great pricing, and expert support. Order today from Buy Comfort Direct."
2830,"PLUSGAS",page_title,"Solace Plus Digital Programmable Thermostat (GAS)","Solace Plus Digital Programmable Thermostat (GAS)"
2830,"PLUSGAS",meta_description,"Solace Plus Digital Programmable Thermostat (GAS)","Shop Solace HVAC systems online at Buy Comfort Direct. Fast shipping, great pricing, and expert support. Order today from Buy Comfort Direct."
2919,"PLUSHP",page_title,"Solace Plus Digital Programmable Thermostat (Heat Pump)","Solace Plus Digital Programmable Thermostat (Heat Pump)"
2919,"PLUSHP",meta_description,"Solace Plus Digital Programmable Thermostat (Heat Pump)","Shop Solace HVAC systems online at Buy Comfort Direct. Fast shipping, great pricing, and expert support. Order today from Buy Comfort Direct."
3806,"S-GLZS4BA1810",page_title,"Solace 1.5 Ton 14.3 SEER2 R-32 Heat Pump - S-GLZS4BA1810","Solace 1.5 Ton 14.3 SEER2 R-32 Heat Pump - S-GLZS4BA1810"
3806,"S-GLZS4BA1810",meta_description,"Solace 1.5 Ton 14.3 SEER2 R-32 Heat Pump - S-GLZS4BA1810","Shop Solace HVAC systems online at Buy Comfort Direct. Fast shipping, great pricing, and expert support. Order today from Buy Comfort Direct."
3879,"S-AWST18SU1303A",page_title,"Solace 1.5 Ton R-32 Wall-Mount Air Handler - S-AWST18SU1303A","Solace 1.5 Ton R-32 Wall-Mount Air Handler - S-AWST18SU1303A"
3879,"S-AWST18SU1303A",meta_description,"Solace 1.5 Ton R-32 Wall-Mount Air Handler - S-AWST18SU1303A","Shop Solace HVAC systems online at Buy Comfort Direct. Fast shipping, great pricing, and expert support. Order today from Buy Comfort Direct."
3880,"S-AWST18SU1305A",page_title,"Solace 1.5 Ton R-32 Wall-Mount Air Handler - S-AWST18SU1305A","Solace 1.5 Ton R-32 Wall-Mount Air Handler - S-AWST18SU1305A"
3880,"S-AWST18SU1305A",meta_description,"Solace 1.5 Ton R-32 Wall-Mount Air Handler - S-AWST18SU1305A","Shop Solace HVAC systems online at Buy Comfort Direct. Fast shipping, great pricing, and expert support. Order today from Buy Comfort Direct."
3881,"S-AWST18SU1308A",page_title,"Solace 1.5 Ton R-32 Wall-Mount Air Handler - S-AWST18SU1308A","Solace 1.5 Ton R-32 Wall-Mount Air Handler - S-AWST18SU1308A"
