search_term,campaign_id,campaign_name,ad_group,impressions,clicks,cost,conversions,conv_value,match_type
buy comfort direct,20958985895,BCD Branded,Branded Terms,450,163,350.550814,16.287895,13166.335601,EXACT
buy comfort direct reviews,20958985895,BCD Branded,Branded Terms,71,7,137.8,1.421248,119.1005824,PHRASE
buycomfortdirect,20958985895,BCD Branded,Branded Terms,35,13,32.214713,1.0,103.8,NEAR_EXACT
is buy comfort direct legit,20958985895,BCD Branded,Branded Terms,17,1,43.12,0.971577,80.8352064,PHRASE
4 ton hvac unit,20958985895,BCD Branded,Branded Terms,1,1,27.19,0.0,0.0,BROAD
buy comfort direct winder ga,20958985895,BCD Branded,Branded Terms,19,2,26.61,0.0,0.0,PHRASE
trane supply com,20958985895,BCD Branded,Branded Terms,2,1,17.8,0.0,0.0,BROAD
daikin goodman,20958985895,BCD Branded,Branded Terms,2,1,13.41,0.0,0.0,BROAD
90000 btu furnace,20958985895,BCD Branded,Branded Terms,2,1,13.37,0.0,0.0,BROAD
packaged gas furnace & a c unit,20958985895,BCD Branded,Branded Terms,1,1,10.89,0.0,0.0,BROAD
goodman distribution sacramento,20958985895,BCD Branded,Branded Terms,2,1,10.86,0.0,0.0,BROAD
furnace filter,20958985895,BCD Branded,Branded Terms,4,1,9.856289,0.0,0.0,BROAD
goodman furnaces,20958985895,BCD Branded,Branded Terms,2,2,9.695962,0.0,0.0,BROAD
goodman furnace parts,20958985895,BCD Branded,Branded Terms,2,3,7.947241,0.0,0.0,BROAD
buy comfort direct coupon code,20958985895,BCD Branded,Branded Terms,30,1,4.95,0.0,0.0,PHRASE
tappan furnace,20958985895,BCD Branded,Branded Terms,2,1,3.4,0.0,0.0,BROAD
natural gas heater parts,20958985895,BCD Branded,Branded Terms,1,1,2.521333,0.0,0.0,BROAD
goodman 80 000 btu furnace 96 efficiency,20958985895,BCD Branded,Branded Terms,1,1,2.44,0.0,0.0,BROAD
buycomfortdirect com reviews,20958985895,BCD Branded,Branded Terms,17,0,0.0,0.0,0.0,PHRASE
14 hvac duct,20958985895,BCD Branded,Branded Terms,4,0,0.0,0.0,0.0,BROAD
150 000 btu furnace,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
2 1 2 ton package unit,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
220v electric furnace,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
3 tonne ac unit,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
3.5 ton ac unit goodman,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
4 ton hvac system,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
45k btu furnace,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
85000 btu furnace,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
95 furnace,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
abc hvac,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
absolute comfort heating and cooling,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
ac direct,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
ac unit,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
aciq,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
adams heating and cooling,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
air conditioning guys el centro,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
air conditioning vent parts,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
airconditioning,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
alternative heating and supplies,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
amana air command 80 sse,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
amana gas furnace,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
amana wall unit,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
america first air conditioning,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
arcoaire,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
aruf486016ba,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
bayonet air conditioning,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
benoist brothers supply company,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
best heating and cooling company near me,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
big mountain heating and air,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
bills heating and cooling,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
brands of hvac units,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
briarwood heating and cooling,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
carrier air conditioning,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
carrier brand ac units,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
carrier furnace,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
carrier north east,20958985895,BCD Branded,Branded Terms,3,0,0.0,0.0,0.0,BROAD
central air conditioner,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
coleman furnace,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
combustion air,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
comfort,20958985895,BCD Branded,Branded Terms,3,0,0.0,0.0,0.0,BROAD
comfort cooling,20958985895,BCD Branded,Branded Terms,4,0,0.0,0.0,0.0,BROAD
comfort solutions heating & cooling,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
comfort star mini split,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
cooper and hunter,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
cooper hunter,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
copeland sales,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
cost of a carrier furnace,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
daikin,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
daikin air,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
direct vent heater,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
eco air,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
economy hvac supply flushing,20958985895,BCD Branded,Branded Terms,2,0,0.0,0.0,0.0,BROAD
edge guys,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
electric and air conditioning,20958985895,BCD Branded,Branded Terms,1,0,0.0,0.0,0.0,BROAD
