brand,product_id,sku,product_name,image_id,image_url,field_changed,before,after,status,error
Rheem,2140,WRX05021,RHEEM WRX05021 - 5 kW Electric Heat Kit,6558,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2140/images/6558/Untitled_45__08499.1768402465.386.513.png?c=1,description,RHEEM WRX05021 5 kW Electric Heat Kit,,skipped,
Rheem,2141,WRX07521,RHEEM WRX07521 - 7.5 kW Electric Heat Kit,6559,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2141/images/6559/Untitled_45__08499.1703708488.1280.1280__99028.1768402466.386.513.png?c=1,description,RHEEM WRX07521 7.5 kW Electric Heat Kit,,skipped,
Rheem,2142,WRX10021,RHEEM WRX10021 - 10 kW Electric Heat Kit,6560,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2142/images/6560/Untitled_45__08499.1703708488.1280.1280__99028.1703708549.1280.1280__15909.1768402466.386.513.png?c=1,description,RHEEM WRX10021 10 kW Electric Heat Kit,,skipped,
Rheem,2143,WRX1502B1,RHEEM WRX1502B1 - 15 kW Electric Heat Kit,6561,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2143/images/6561/1703708620.1280.1280__40901.1768402467.386.513.png?c=1,description,RHEEM WRX1502B1 15 kW Electric Heat Kit,,skipped,
Rheem,2182,R801T0503A14UHSNAS,"RHEEM R801T0503A14UHSNAS - 50,000 BTU 80% AFUE Single Stage Furnace",6600,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2182/images/6600/Untitled_54__16429.1768402468.386.513.png?c=1,description,"RHEEM R801T0503A14UHSNAS 50,000 BTU 80% AFUE Single Stage Furnace",,skipped,
Rheem,2183,R801T0754A17UHSNAS,"RHEEM R801T0754A17UHSNAS - 75,000 BTU 80% AFUE Single Stage Furnace",6601,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2183/images/6601/Untitled_54__16429.1704219711.1280.1280__87287.1768402469.386.513.png?c=1,description,"RHEEM R801T0754A17UHSNAS 75,000 BTU 80% AFUE Single Stage Furnace",,skipped,
Rheem,2184,R801T0754A21UHSNAS,"RHEEM R801T0754A21UHSNAS - 75,000 BTU 80% AFUE Single Stage Furnace",6602,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2184/images/6602/Untitled_54__16429.1704219711.1280.1280__87287.1704220280.1280.1280__93154.1768402470.386.513.png?c=1,description,"RHEEM R801T0754A21UHSNAS 75,000 BTU 80% AFUE Single Stage Furnace",,skipped,
Rheem,2185,R801T1005A21UHSNAS,"RHEEM R801T1005A21UHSNAS - 100,000 BTU 80% AFUE Single Stage Furnace",6603,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2185/images/6603/1704220509.1280.1280__70313.1768402471.386.513.png?c=1,description,"RHEEM R801T1005A21UHSNAS 100,000 BTU 80% AFUE Single Stage Furnace",,skipped,
Rheem,2186,R801T1255A24UHSNAS,"RHEEM R801T1255A24UHSNAS - 125,000 BTU 80% AFUE Single Stage Furnace",6604,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2186/images/6604/1704220509.1280.1280__70313.1704220712.1280.1280__98546.1768402472.386.513.png?c=1,description,"RHEEM R801T1255A24UHSNAS 125,000 BTU 80% AFUE Single Stage Furnace",,skipped,
Rheem,2187,R921T0403A17M4SNAS,"RHEEM R921T0403A17M4SNAS - 40,000 BTU 92% AFUE Single Stage Furnace",6605,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2187/images/6605/Untitled_55__74318.1768402473.386.513.png?c=1,description,"RHEEM R921T0403A17M4SNAS 40,000 BTU 92% AFUE Single Stage Furnace",,skipped,
Rheem,2188,R921T0603A17M4SNAS,"RHEEM R921T0603A17M4SNAS - 60,000 BTU 92% AFUE Single Stage Furnace",6606,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2188/images/6606/Untitled_55__74318.1704222666.1280.1280__33306.1768402474.386.513.png?c=1,description,"RHEEM R921T0603A17M4SNAS 60,000 BTU 92% AFUE Single Stage Furnace",,skipped,
Rheem,2189,R921T0703A17M4SNAS,"RHEEM R921T0703A17M4SNAS - 70,000 BTU 92% AFUE Single Stage Furnace",6607,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2189/images/6607/Untitled_55__74318.1704222666.1280.1280__33306.1704223008.1280.1280__77110.1768402475.386.513.png?c=1,description,"RHEEM R921T0703A17M4SNAS 70,000 BTU 92% AFUE Single Stage Furnace",,skipped,
Rheem,2190,R921T0855A21M4SNAS,"RHEEM R921T0855A21M4SNAS - 85,000 BTU 92% AFUE Single Stage Furnace",6608,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2190/images/6608/1704223100.1280.1280__52648.1768402475.386.513.png?c=1,description,"RHEEM R921T0855A21M4SNAS 85,000 BTU 92% AFUE Single Stage Furnace",,skipped,
Rheem,2191,R921T1005A21M4SNAS,"RHEEM R921T1005A21M4SNAS - 100,000 BTU 92% AFUE Single Stage Furnace",6609,https://cdn11.bigcommerce.com/s-8jovicf28z/products/2191/images/6609/1704223100.1280.1280__52648.1704223510.1280.1280__14455.1768402476.386.513.png?c=1,description,"RHEEM R921T1005A21M4SNAS 100,000 BTU 92% AFUE Single Stage Furnace",,skipped,
