product_id,id,sku,price,sale_price,cost_price,inventory_level,weight,width,height,depth,upc,mpn,gtin,option_values,image_url
2140,2173,WRX05021,302,241.6,0,0,10,10,10,8,,WRX05021,,[],https://cdn11.bigcommerce.com/s-8jovicf28z/products/2140/images/6558/Untitled_45__08499.1708445374.386.513.png?c=1
2141,2174,WRX07521,390,312,0,0,10,39,47,39,,WRX07521,,[],https://cdn11.bigcommerce.com/s-8jovicf28z/products/2141/images/6559/Untitled_45__08499.1703708488.1280.1280__99028.1708445375.386.513.png?c=1
2142,2175,WRX10021,395,316,0,0,10,39,47,39,,WRX10021,,[],https://cdn11.bigcommerce.com/s-8jovicf28z/products/2142/images/6560/Untitled_45__08499.1703708488.1280.1280__99028.1703708549.1280.1280__15909.1708445375.386.513.png?c=1
2143,2176,WRX1502B1,580,464,0,0,10,39,47,39,,WRX1502B1,,[],https://cdn11.bigcommerce.com/s-8jovicf28z/products/2143/images/6561/1703708620.1280.1280__40901.1708445375.386.513.png?c=1
2182,2215,R801T0503A14UHSNAS,1800,1550,0,0,144,21,34,30,,R801T0503A14UHSNAS,,[],https://cdn11.bigcommerce.com/s-8jovicf28z/products/2182/images/6600/Untitled_54__16429.1731595821.386.513.png?c=1
2183,2216,R801T0754A17UHSNAS,1875,1650,0,0,144,21,34,30,,R801T0754A17UHSNAS,,[],https://cdn11.bigcommerce.com/s-8jovicf28z/products/2183/images/6601/Untitled_54__16429.1704219711.1280.1280__87287.1731595821.386.513.png?c=1
2184,2217,R801T0754A21UHSNAS,1935,1750,0,0,135,21,34,30,,R801T0754A21UHSNAS,,[],https://cdn11.bigcommerce.com/s-8jovicf28z/products/2184/images/6602/Untitled_54__16429.1704219711.1280.1280__87287.1704220280.1280.1280__93154.1731595822.386.513.png?c=1
2185,2218,R801T1005A21UHSNAS,2050,1850,0,0,144,21,34,30,,R801T1005A21UHSNAS,,[],https://cdn11.bigcommerce.com/s-8jovicf28z/products/2185/images/6603/1704220509.1280.1280__70313.1731595822.386.513.png?c=1
2186,2219,R801T1255A24UHSNAS,2100,1950,0,0,144,21,34,30,,R801T1255A24UHSNAS,,[],https://cdn11.bigcommerce.com/s-8jovicf28z/products/2186/images/6604/1704220509.1280.1280__70313.1704220712.1280.1280__98546.1731595822.386.513.png?c=1
2187,2220,R921T0403A17M4SNAS,2175,1740,0,0,190,21,34,30,,R921T0403A17M4SNAS,,[],https://cdn11.bigcommerce.com/s-8jovicf28z/products/2187/images/6605/Untitled_55__74318.1731595817.386.513.png?c=1
