product_id,sku,field_changed,before,after
2140,WRX05021,page_title,Rheem 5kW Electric Heat Kit,RHEEM WRX05021 - 5 kW Electric Heat Kit | Buy Comfort Direct
2140,WRX05021,meta_description,Shop Rheem HVAC systems online at Buy Comfort Direct. Reliable HVAC equipment available for purchase.,"Shop Rheem HVAC systems online at Buy Comfort Direct. Fast shipping, great pricing, and expert support. SKU: WRX05021."
2141,WRX07521,page_title,Rheem 7.5kW Electric Heat Kit,RHEEM WRX07521 - 7.5 kW Electric Heat Kit | Buy Comfort Direct
2141,WRX07521,meta_description,Shop Rheem HVAC systems online at Buy Comfort Direct. Reliable HVAC equipment available for purchase.,"Shop Rheem HVAC systems online at Buy Comfort Direct. Fast shipping, great pricing, and expert support. SKU: WRX07521."
2142,WRX10021,page_title,Rheem 10kW Electric Heat Kit,RHEEM WRX10021 - 10 kW Electric Heat Kit | Buy Comfort Direct
2142,WRX10021,meta_description,Shop Rheem HVAC systems online at Buy Comfort Direct. Reliable HVAC equipment available for purchase.,"Shop Rheem HVAC systems online at Buy Comfort Direct. Fast shipping, great pricing, and expert support. SKU: WRX10021."
2143,WRX1502B1,page_title,Rheem 15kW Electric Heat Kit,RHEEM WRX1502B1 - 15 kW Electric Heat Kit | Buy Comfort Direct
2143,WRX1502B1,meta_description,Shop Rheem HVAC systems online at Buy Comfort Direct. Reliable HVAC equipment available for purchase.,"Shop Rheem HVAC systems online at Buy Comfort Direct. Fast shipping, great pricing, and expert support. SKU: WRX1502B1."
2182,R801T0503A14UHSNAS,page_title,"Rheem 50K BTU 80% UH Gas Furnace Single Stage Constant Torque 14"" R801T0503A14UHSNAS","RHEEM R801T0503A14UHSNAS - 50,000 BTU 80% AFUE Single Stage Furnace | Buy Comfort Direct"
2182,R801T0503A14UHSNAS,meta_description,"Rheem 50K BTU 80% UH Gas Furnace Single Stage Constant Torque 14"" R801T0503A14UHSNAS","Shop Rheem HVAC systems online at Buy Comfort Direct. Fast shipping, great pricing, and expert support. SKU: R801T0503A14UHSNAS."
2183,R801T0754A17UHSNAS,page_title,"Rheem 75K BTU 80% UH Gas Furnace Single Stage Constant Torque 17"" R801T0754A17UHSNAS","RHEEM R801T0754A17UHSNAS - 75,000 BTU 80% AFUE Single Stage Furnace | Buy Comfort Direct"
2183,R801T0754A17UHSNAS,meta_description,"Rheem 75K BTU 80% UH Gas Furnace Single Stage Constant Torque 17"" R801T0754A17UHSNAS","Shop Rheem HVAC systems online at Buy Comfort Direct. Fast shipping, great pricing, and expert support. SKU: R801T0754A17UHSNAS."
2184,R801T0754A21UHSNAS,page_title,"Rheem 75K BTU 80% UH Gas Furnace Single Stage Constant Torque 21"" R801T0754A21UHSNAS","RHEEM R801T0754A21UHSNAS - 75,000 BTU 80% AFUE Single Stage Furnace | Buy Comfort Direct"
