product_id,sku,product_name,brand,url_slug,page_title,meta_description,meta_keywords,search_keywords,categories,visibility
2140,WRX05021,RHEEM WRX05021 - 5 kW Electric Heat Kit,Rheem,/products/rheem-5kw-electric-heat-kit.html,Rheem 5kW Electric Heat Kit,Shop Rheem HVAC systems online at Buy Comfort Direct. Reliable HVAC equipment available for purchase.,EMPTY,Rheem 5kW Electric Heat Kit,Rheem > Heat Kits; Rheem,visible
2141,WRX07521,RHEEM WRX07521 - 7.5 kW Electric Heat Kit,Rheem,/products/rheem-7-5kw-electric-heat-kit.html,Rheem 7.5kW Electric Heat Kit,Shop Rheem HVAC systems online at Buy Comfort Direct. Reliable HVAC equipment available for purchase.,EMPTY,Rheem 8KW Heat Kit WRX07521,Rheem > Heat Kits; Rheem,visible
2142,WRX10021,RHEEM WRX10021 - 10 kW Electric Heat Kit,Rheem,/products/rheem-10kw-electric-heat-kit.html,Rheem 10kW Electric Heat Kit,Shop Rheem HVAC systems online at Buy Comfort Direct. Reliable HVAC equipment available for purchase.,EMPTY,Rheem 10kW Electric Heat Kit,Rheem > Heat Kits; Rheem,visible
2143,WRX1502B1,RHEEM WRX1502B1 - 15 kW Electric Heat Kit,Rheem,/products/rheem-15kw-electric-heat-kit.html,Rheem 15kW Electric Heat Kit,Shop Rheem HVAC systems online at Buy Comfort Direct. Reliable HVAC equipment available for purchase.,EMPTY,Rheem 15kW Electric Heat Kit,Rheem > Heat Kits; Rheem,visible
2182,R801T0503A14UHSNAS,"RHEEM R801T0503A14UHSNAS - 50,000 BTU 80% AFUE Single Stage Furnace",Rheem,/products/rheem-50k-btu-80-uh-gas-furnace-single-stage-constant-torque-17-r801t0503a14uhsnas.html,"Rheem 50K BTU 80% UH Gas Furnace Single Stage Constant Torque 14"" R801T0503A14UHSNAS","Rheem 50K BTU 80% UH Gas Furnace Single Stage Constant Torque 14"" R801T0503A14UHSNAS",EMPTY,"Rheem 50K BTU 80% UH Gas Furnace Single Stage Constant Torque 14"" R801T0503A14UHSNAS",Rheem; Rheem > 80% Furnaces; Rheem > 80% Furnaces > 50K BTU,visible
2183,R801T0754A17UHSNAS,"RHEEM R801T0754A17UHSNAS - 75,000 BTU 80% AFUE Single Stage Furnace",Rheem,/products/rheem-75k-btu-80-uh-gas-furnace-single-stage-constant-torque-17-r801t0754a17uhsnas.html,"Rheem 75K BTU 80% UH Gas Furnace Single Stage Constant Torque 17"" R801T0754A17UHSNAS","Rheem 75K BTU 80% UH Gas Furnace Single Stage Constant Torque 17"" R801T0754A17UHSNAS",EMPTY,"Rheem 75K BTU 80% UH Gas Furnace Single Stage Constant Torque 17"" R801T0754A17UHSNAS",Rheem; Rheem > 80% Furnaces; Rheem > 80% Furnaces > 75k BTU,visible
2184,R801T0754A21UHSNAS,"RHEEM R801T0754A21UHSNAS - 75,000 BTU 80% AFUE Single Stage Furnace",Rheem,/products/rheem-75k-btu-80-uh-gas-furnace-single-stage-constant-torque-21-r801t0754a21uhsnas.html,"Rheem 75K BTU 80% UH Gas Furnace Single Stage Constant Torque 21"" R801T0754A21UHSNAS","Rheem 75K BTU 80% UH Gas Furnace Single Stage Constant Torque 21"" R801T0754A21UHSNAS",EMPTY,"Rheem 75K BTU 80% UH Gas Furnace Single Stage Constant Torque 21"" R801T0754A21UHSNAS",Rheem; Rheem > 80% Furnaces; Rheem > 80% Furnaces > 75k BTU,visible
2185,R801T1005A21UHSNAS,"RHEEM R801T1005A21UHSNAS - 100,000 BTU 80% AFUE Single Stage Furnace",Rheem,/products/rheem-100k-btu-80-uh-gas-furnace-single-stage-constant-torque-21-r801t1005a21uhsnas.html,"Rheem 100K BTU 80% UH Gas Furnace Single Stage Constant Torque 21"" R801T1005A21UHSNAS","Rheem 100K BTU 80% UH Gas Furnace Single Stage Constant Torque 21"" R801T1005A21UHSNAS",EMPTY,"Rheem 100K BTU 80% UH Gas Furnace Single Stage Constant Torque 21"" R801T1005A21UHSNAS",Rheem; Rheem > 80% Furnaces; Rheem > 80% Furnaces > 100K BTU,visible
2186,R801T1255A24UHSNAS,"RHEEM R801T1255A24UHSNAS - 125,000 BTU 80% AFUE Single Stage Furnace",Rheem,/products/rheem-125k-btu-80-uh-gas-furnace-single-stage-constant-torque-24-r801t1255a24uhsnas.html,"Rheem 125K BTU 80% UH Gas Furnace Single Stage Constant Torque 24"" R801T1255A24UHSNAS","Rheem 125K BTU 80% UH Gas Furnace Single Stage Constant Torque 24"" R801T1255A24UHSNAS",EMPTY,"Rheem 125K BTU 80% UH Gas Furnace Single Stage Constant Torque 24"" R801T1255A24UHSNAS",Rheem; Rheem > 80% Furnaces; Rheem > 80% Furnaces > 125K BTU,visible
2187,R921T0403A17M4SNAS,"RHEEM R921T0403A17M4SNAS - 40,000 BTU 92% AFUE Single Stage Furnace",Rheem,/products/rheem-92-40k-btu-gas-furnace-17-wide-r921t0403a17m4snas.html,"Rheem 92% 40K BTU Gas Furnace 17"" Wide R921T0403A17M4SNAS","Rheem 92% 40K BTU Gas Furnace 17"" Wide R921T0403A17M4SNAS",EMPTY,"Rheem 92% 40K BTU Gas Furnace 17"" Wide R921T0403A17M4SNAS",Rheem; Rheem > 92% Furnaces; Rheem > 92% Furnaces > 40K BTU,visible
