product_id | sku | field_changed | before | after
----------------------------------------------------------------------------------------------------
2140 | WRX05021 | meta_description | Rheem 5kW Electric Heat Kit | Shop Rheem HVAC systems online at Buy Co
2141 | WRX07521 | meta_description | Rheem 7.5kW Electric Heat Kit | Shop Rheem HVAC systems online at Buy Co
2142 | WRX10021 | meta_description | Rheem 10kW Electric Heat Kit | Shop Rheem HVAC systems online at Buy Co
2143 | WRX1502B1 | meta_description | Rheem 15kW Electric Heat Kit | Shop Rheem HVAC systems online at Buy Co
2366 | RHRETST800SYS | page_title | Rheem EcoNet 800 Smart Thermostat RHRETS | Rheem Rheem EcoNet 800 Smart Thermostat 
2366 | RHRETST800SYS | meta_description | Rheem EcoNet 800 Smart Thermostat RHRETS | Shop Rheem HVAC systems online at Buy Co
2367 | RHRECTL800ZON | page_title | Rheem EcoNet Zone Control RHRECTL800ZON | Rheem Rheem EcoNet Zone Control RHRECTL8
2367 | RHRECTL800ZON | meta_description | Rheem EcoNet Zone Control RHRECTL800ZON | Shop Rheem HVAC systems online at Buy Co
2368 | RHREPNL700ZON | page_title | EcoNet Zone Control Panel RRHREPNL700ZON | Rheem EcoNet Zone Control Panel RRHREPNL
2368 | RHREPNL700ZON | meta_description | EcoNet Zone Control Panel RRHREPNL700ZON | Shop Rheem HVAC systems online at Buy Co
2645 | FP15 | meta_description | Rheem LP Kit 80% Furnaces | Shop Rheem furnace systems online at Buy
2646 | FP38 | meta_description | Rheem LP Kit 90%+ Furnaces | Shop Rheem furnace systems online at Buy
2831 | RP14AY18AJ1NA | meta_description | Rheem 1.5 Ton Heat Pump 14.3 SEER2 R-454 | Shop Rheem heat pump systems online at B
2832 | RP14AY24AJ2NA | meta_description | Rheem 2 Ton Heat Pump 2 Stage 14.3 SEER2 | Shop Rheem heat pump systems online at B
2833 | RP14AY30AJ2NA | meta_description | Rheem 2.5 Ton Heat Pump 2 Stage 14.3 SEE | Shop Rheem heat pump systems online at B
2834 | RP14AY36AJ2NA | meta_description | Rheem 3 Ton Heat Pump 2 Stage 14.3 SEER2 | Shop Rheem heat pump systems online at B
2835 | RP14AY42AJ2NA | meta_description | Rheem 3.5 Ton Heat Pump 2 Stage 14.3 SEE | Shop Rheem heat pump systems online at B
2836 | RP14AY48AJ2NA | meta_description | Rheem 4 Ton Heat Pump 2 Stage 14.3 SEER2 | Shop Rheem heat pump systems online at B
2837 | RP14AY60AJ2NA | meta_description | Rheem 5 Ton Heat Pump 2 Stage 14.3 SEER2 | Shop Rheem heat pump systems online at B
2838 | RA14AY18AJ1NA | meta_description | Rheem 1.5 Ton AC 14.3 SEER2 R-454B | Shop Rheem air conditioner systems onlin
2839 | RA14AY24AJ1NA | meta_description | Rheem 2 Ton AC 14.3 SEER2 R-454B | Shop Rheem air conditioner systems onlin
2840 | RA14AY30AJ1NA | meta_description | Rheem 2.5 Ton AC 14.3 SEER2 R-454B | Shop Rheem air conditioner systems onlin
2841 | RA14AY36AJ1NA | meta_description | Rheem 3 Ton AC 14.3 SEER2 R-454B | Shop Rheem air conditioner systems onlin
2842 | RA14AY42AJ1NA | meta_description | Rheem 3.5 Ton AC 14.3 SEER2 R-454B | Shop Rheem air conditioner systems onlin
2843 | RA14AY48AJ1NA | meta_description | Rheem 4 Ton AC 14.3 SEER2 R-454B | Shop Rheem air conditioner systems onlin
2844 | RA14AY60AJ1NA | meta_description | Rheem 5 Ton AC 14.3 SEER2 R-454B | Shop Rheem air conditioner systems onlin
2845 | RH2TY2417STANNJ | meta_description | Rheem 2 Ton Air Handler 17" Wide W/ R-45 | Shop Rheem air handler systems online at
2846 | RH2TY3617STANNJ | meta_description | Rheem 3 Ton Air Handler 17" Wide W/ R-45 | Shop Rheem air handler systems online at
2847 | RH2TY4821STANNJ | meta_description | Rheem 4 Ton Air Handler 21" Wide W/ R-45 | Shop Rheem air handler systems online at
2848 | RH2TY6024STANNJ | meta_description | Rheem 5 Ton Air Handler 24" Wide W/ R-45 | Shop Rheem air handler systems online at
2983 | RP15AY18AJ2NA | meta_description | Rheem 1.5 Ton Heat Pump 15.2 SEER2 2 Sta | Shop Rheem heat pump systems online at B
2984 | RP15AY24AJ2NA | meta_description | Rheem 2 Ton Heat Pump 15.2 SEER2 2 Stage | Shop Rheem heat pump systems online at B
2985 | RP15AY30AJ2NA | meta_description | Rheem 2.5 Ton Heat Pump 15.2 SEER2 2 Sta | Shop Rheem heat pump systems online at B
2986 | RP15AY36AJ2NA | meta_description | Rheem 3 Ton Heat Pump 15.2 SEER2 2 Stage | Shop Rheem heat pump systems online at B
2987 | RP15AY42AJ2NA | meta_description | Rheem 3.5 Ton Heat Pump 15.2 SEER2 2 Sta | Shop Rheem heat pump systems online at B
